"PARENT_CATEGORY_CATEGORY_CODE","CHILD_CATEGORY_CATEGORY_CODE","ADVERTISER_CID","SUM(SUM_COMM_AMOUNT_USD)"
309,310,3812999,3555.541
309,310,3828832,2640
309,310,3925419,1784
309,310,4020873,173607.838
309,310,4022902,22663.792
309,310,4069992,9703.337
309,310,4095005,5136
309,310,4110283,1257.293
309,310,4170143,34677.615
309,310,4210140,1071.8
309,310,4255121,5823.8
309,310,4314363,1261
309,310,4329977,1807.75
309,310,4466935,2970
309,311,260551,5675.007
309,311,276652,3096.188
309,311,520129,14055.268
309,311,869276,1317.1
309,311,1027018,35950
309,311,1087150,49971.732
309,311,1428276,3180.01
309,311,1472343,1125.527
309,311,1501311,2070
309,311,1513033,7310.026
309,311,1749985,6560.195
309,311,1845757,6483.075
309,311,1905878,1076.852
309,311,2018843,8122.756
309,311,2125713,2232.867
309,311,2172304,17132.19
309,311,2211081,2658
309,311,2326708,1724.829
309,311,2362571,1557.976
309,311,2648678,32226.9
309,311,2797026,1200
309,311,2860182,91995.387
309,311,2960055,2096
309,311,2983194,1001.859
309,311,3055640,1366.977
309,311,3090276,5939.686
309,311,3097132,1388.2
309,311,3143903,17397.128
309,311,3234684,1840
309,311,3376485,1329.133
309,311,3468116,1368.779
309,311,3553686,2314.287
309,311,3600617,1019.701
309,311,3641171,1265.101
309,311,3711405,1025.82
309,311,3773524,1288.543
309,311,3774619,41862.087
309,311,3953968,1279.492
309,311,3983556,1473.102
309,311,4020873,100875.886
309,311,4034093,1419
309,311,4170143,40381.915
309,311,4226506,3432.752
309,311,4251897,2475.596
309,311,4307924,2573.484
309,311,4525895,2794.401
309,312,242732,14565.267
309,312,473140,1018.451
309,312,545432,4875.376
309,312,684659,4105
309,312,849260,27499.216
309,312,1055899,3047.959
309,312,1101742,1523.315
309,312,1338756,5031.01
309,312,1357480,17222.88
309,312,1382555,1857.82
309,312,1438877,1439.92
309,312,1455022,5087.366
309,312,1513033,12465.854
309,312,1549809,1014.501
309,312,1582324,1365
309,312,1614570,1355.6
309,312,1646298,1521.066
309,312,1702763,2763.556
