"COMPANY","ID","CATEGORY"
4561761,7844819,306
4561762,7844820,409
4561763,7844821,409
4561765,7844822,1112
4561766,7844824,581
4561767,7844825,333
4561768,7844827,379
4561769,7844828,303
4561770,7844829,316
4561772,7844830,302
4561773,7844831,406
4561774,7844832,384
4561775,7844833,306
4561776,7844834,390
4561777,7844835,365
4561779,7844836,361
4561780,7844837,397
4561782,7844838,395
4561783,7844839,395
4561784,7844840,416
4561785,7844841,1052
4561786,7844842,414
4561787,7844843,305
4561787,7844849,305
4561787,7847437,305
4561788,7844844,410
4561789,7844845,410
4561791,7844846,360
4561792,7844847,405
4561795,7844850,393
4561797,7844854,1052
4561799,7844855,316
4561800,7844856,317
4561801,7844857,306
4561802,7844858,323
4561803,7844859,323
4561804,7844860,312
4561805,7844861,374
4561807,7844862,322
4561810,7844863,374
4561811,7844864,343
4561812,7844866,381
4561813,7844867,1039
4561814,7844871,316
4561815,7844872,373
4561818,7844876,1047
4561818,7844927,1047
4561818,7844949,391
4561820,7844880,387
4561822,7844881,381
4561823,7844882,441
4561823,7847453,1022
4561824,7844883,312
4561825,7844886,410
4561826,7844887,1044
4561826,7844956,391
4561827,7844889,366
4561827,7844903,366
4561827,7844904,1022
4561827,7844907,366
4561829,7844890,397
4561831,7844892,316
4561832,7844893,374
4561833,7844895,393
4561834,7844896,302
4561835,7844897,581
4561836,7844901,301
4561837,7844902,1107
4561838,7844905,385
4561839,7844906,313
4561839,7844915,313
4561840,7844908,621
4561841,7844909,301
4561842,7844910,395
4561843,7844912,305
4561843,7848839,316
4561844,7844913,1022
4561845,7844914,339
4561845,7845037,339
4561845,7845835,391
4561846,7844916,345
4561849,7844918,316
4561850,7844921,373
4561852,7844922,414
4561853,7844923,413
4561853,7844931,413
4561854,7844924,418
4561855,7844925,406
4561855,7845047,317
4561855,7845048,406
4561855,7845049,391
4561856,7844926,1022
4561859,7844928,381
4561859,7844930,381
4561862,7844929,409
4561864,7844932,367
4561865,7844933,400
4561866,7844934,393
4561867,7844937,319
4561868,7844938,381
4561869,7844943,416
4561872,7844944,316
